County,Season,Infected,Population,Region
ALBANY,2009-2010,333,304321,CAPITAL DISTRICT
ALBANY,2010-2011,144,304411,CAPITAL DISTRICT
ALBANY,2011-2012,39,305279,CAPITAL DISTRICT
ALBANY,2012-2013,521,306248,CAPITAL DISTRICT
ALBANY,2013-2014,567,306930,CAPITAL DISTRICT
ALBANY,2015-2016,713,307537,CAPITAL DISTRICT
ALBANY,2016-2017,701,307670,CAPITAL DISTRICT
ALBANY,2017-2018,1708,307031,CAPITAL DISTRICT
ALBANY,2018-2019,606,306144,CAPITAL DISTRICT
ALLEGANY,2009-2010,222,48970,WESTERN
ALLEGANY,2010-2011,117,48862,WESTERN
ALLEGANY,2011-2012,4,48442,WESTERN
ALLEGANY,2012-2013,123,48022,WESTERN
ALLEGANY,2013-2014,160,47750,WESTERN
ALLEGANY,2015-2016,87,47149,WESTERN
ALLEGANY,2016-2017,211,46799,WESTERN
ALLEGANY,2017-2018,205,46453,WESTERN
ALLEGANY,2018-2019,110,46233,WESTERN
BRONX,2009-2010,1116,1383285,NYC
BRONX,2010-2011,1830,1393685,NYC
BRONX,2011-2012,491,1405917,NYC
BRONX,2012-2013,3954,1417818,NYC
BRONX,2013-2014,4242,1427391,NYC
BRONX,2014-2015,3489,1436540,NYC
BRONX,2015-2016,4982,1442813,NYC
BRONX,2016-2017,6096,1442119,NYC
BRONX,2017-2018,11749,1435450,NYC
BRONX,2018-2019,7099,1426409,NYC
BROOME,2009-2010,642,200646,CENTRAL
BROOME,2010-2011,391,199770,CENTRAL
BROOME,2011-2012,98,198941,CENTRAL
BROOME,2012-2013,822,198211,CENTRAL
BROOME,2013-2014,549,197512,CENTRAL
BROOME,2015-2016,653,195018,CENTRAL
BROOME,2016-2017,1352,193651,CENTRAL
BROOME,2017-2018,2214,192388,CENTRAL
BROOME,2018-2019,1068,191337,CENTRAL
CATTARAUGUS,2009-2010,172,80317,WESTERN
CATTARAUGUS,2010-2011,115,79962,WESTERN
CATTARAUGUS,2011-2012,9,79532,WESTERN
CATTARAUGUS,2012-2013,108,79135,WESTERN
CATTARAUGUS,2013-2014,35,78803,WESTERN
CATTARAUGUS,2015-2016,87,77755,WESTERN
CATTARAUGUS,2016-2017,105,77366,WESTERN
CATTARAUGUS,2017-2018,492,76903,WESTERN
CATTARAUGUS,2018-2019,150,76477,WESTERN
CAYUGA,2009-2010,83,79996,CENTRAL
CAYUGA,2010-2011,34,79766,CENTRAL
CAYUGA,2011-2012,8,79579,CENTRAL
CAYUGA,2012-2013,216,79252,CENTRAL
CAYUGA,2013-2014,171,78890,CENTRAL
CAYUGA,2015-2016,202,77901,CENTRAL
CAYUGA,2016-2017,468,77542,CENTRAL
CAYUGA,2017-2018,1167,77253,CENTRAL
CAYUGA,2018-2019,544,76898,CENTRAL
CHAUTAUQUA,2009-2010,338,134897,WESTERN
