Region,Season,Infected,Population
CAPITAL DISTRICT,2009-2010,1751,88569
CAPITAL DISTRICT,2010-2011,838,88551
CAPITAL DISTRICT,2011-2012,329,88527
CAPITAL DISTRICT,2012-2013,3149,88493
CAPITAL DISTRICT,2013-2014,2613,88402
CAPITAL DISTRICT,2014-2015,3316,84314
CAPITAL DISTRICT,2015-2016,3734,88071
CAPITAL DISTRICT,2016-2017,5168,88037
CAPITAL DISTRICT,2017-2018,10467,87980
CAPITAL DISTRICT,2018-2019,5143,87825
CENTRAL,2009-2010,3439,124974
CENTRAL,2010-2011,2541,124991
CENTRAL,2011-2012,704,124931
CENTRAL,2012-2013,8289,124773
CENTRAL,2013-2014,5535,124436
CENTRAL,2014-2015,8155,136065
CENTRAL,2015-2016,6705,122923
CENTRAL,2016-2017,11630,122292
CENTRAL,2017-2018,18842,121828
CENTRAL,2018-2019,9437,121409
METRO,2009-2010,9242,568820
METRO,2010-2011,7020,571294
METRO,2011-2012,1003,572299
METRO,2012-2013,12085,573072
METRO,2013-2014,10218,573644
METRO,2014-2015,11666,608532
METRO,2015-2016,12543,573375
METRO,2016-2017,18092,573359
METRO,2017-2018,31467,573420
METRO,2018-2019,16341,573263
NYC,2009-2010,5270,1633777
NYC,2010-2011,6098,1648572
NYC,2011-2012,1510,1663528
NYC,2012-2013,12799,1675326
NYC,2013-2014,14017,1683790
NYC,2014-2015,10747,1690374
NYC,2015-2016,17703,1693387
NYC,2016-2017,20465,1689991
NYC,2017-2018,45368,1681751
NYC,2018-2019,29494,1673658
WESTERN,2009-2010,5605,166032
WESTERN,2010-2011,3831,166079
WESTERN,2011-2012,491,165975
WESTERN,2012-2013,9027,165804
WESTERN,2013-2014,4272,165523
WESTERN,2014-2015,8617,128436
WESTERN,2015-2016,7327,164454
WESTERN,2016-2017,9410,163997
WESTERN,2017-2018,22103,163700
WESTERN,2018-2019,9031,163443
